"","ano_campeonato","estado","media_mandante","media_visitante","media_geral"
"1",2003,"BA",1.65789473684211,0.763157894736842,1.21052631578948
"2",2003,"CE",1.42105263157895,0.842105263157895,1.13157894736842
"3",2003,"GO",1.94736842105263,1.31578947368421,1.63157894736842
"4",2003,"MG",2.18421052631579,1.60526315789474,1.89473684210527
"5",2003,"PR",2.01754385964912,1.08771929824561,1.55263157894737
"6",2003,"RJ",1.56140350877193,0.824561403508772,1.19298245614035
"7",2003,"RS",1.3859649122807,0.947368421052632,1.16666666666667
"8",2003,"SC",1.52631578947368,0.947368421052632,1.23684210526316
"9",2003,"SP",1.81578947368421,1.20175438596491,1.50877192982456
"10",2004,"BA",2.36842105263158,0.894736842105263,1.63157894736842
"11",2004,"GO",2.47368421052632,1.31578947368421,1.89473684210527
"12",2004,"MG",1.76315789473684,0.947368421052632,1.35526315789474
"13",2004,"PR",1.50877192982456,1.21052631578947,1.35964912280701
"14",2004,"RJ",1.53947368421053,1.11842105263158,1.32894736842106
"15",2004,"RS",1.71929824561404,0.929824561403509,1.32456140350877
"16",2004,"SC",1.60526315789474,0.947368421052632,1.27631578947369
"17",2004,"SP",1.6015037593985,1.15789473684211,1.3796992481203
"18",2005,"CE",2,0.736842105263158,1.36842105263158
"19",2005,"GO",2.05263157894737,1.15789473684211,1.60526315789474
"20",2005,"MG",1.73684210526316,1.36842105263158,1.55263157894737
"21",2005,"PR",1.87719298245614,1.12280701754386,1.5
"22",2005,"RJ",1.81578947368421,1.36842105263158,1.5921052631579
"23",2005,"RS",1.81578947368421,1.52631578947368,1.67105263157895
"24",2005,"SC",1.68421052631579,1.10526315789474,1.39473684210527
"25",2005,"SP",1.78070175438596,1.6140350877193,1.69736842105263
"26",2006,"CE",1.31578947368421,0.736842105263158,1.02631578947368
"27",2006,"GO",1.85,1.38888888888889,1.61944444444444
"28",2006,"MG",1.95,0.722222222222222,1.33611111111111
"29",2006,"PE",1.21052631578947,1,1.10526315789473
"30",2006,"PR",1.57894736842105,1.5,1.53947368421052
"31",2006,"RJ",1.52631578947368,1.11842105263158,1.32236842105263
"32",2006,"RS",1.66071428571429,1.1551724137931,1.4079433497537
"33",2006,"SC",1.31578947368421,1.42105263157895,1.36842105263158
"34",2006,"SP",1.63716814159292,1.05217391304348,1.3446710273182
"35",2007,"GO",1.68421052631579,0.894736842105263,1.28947368421053
"36",2007,"MG",2.18421052631579,1.39473684210526,1.78947368421052
"37",2007,"PE",1.97368421052632,1.18421052631579,1.57894736842105
"38",2007,"PR",1.39473684210526,1.05263157894737,1.22368421052632
"39",2007,"RJ",1.90789473684211,1.14473684210526,1.52631578947368
"40",2007,"RS",1.47368421052632,0.912280701754386,1.19298245614035
"41",2007,"SC",1.84210526315789,1.15789473684211,1.5
"42",2007,"SP",1.51315789473684,1.11842105263158,1.31578947368421
"43",2008,"BA",1.84210526315789,0.684210526315789,1.26315789473684
"44",2008,"GO",2.10526315789474,0.894736842105263,1.5
"45",2008,"MG",1.64912280701754,0.912280701754386,1.28070175438596
"46",2008,"PE",1.60526315789474,0.815789473684211,1.21052631578948
"47",2008,"PR",1.71052631578947,0.921052631578947,1.31578947368421
"48",2008,"RJ",1.72368421052632,1.21052631578947,1.46710526315789
"49",2008,"RS",1.57894736842105,1.23684210526316,1.4078947368421
"50",2008,"SC",1.57894736842105,1,1.28947368421052
"51",2008,"SP",1.86842105263158,0.934210526315789,1.40131578947368
"52",2009,"BA",2.05263157894737,0.631578947368421,1.3421052631579
"53",2009,"GO",1.89473684210526,1.47368421052632,1.68421052631579
"54",2009,"MG",1.47368421052632,1.5,1.48684210526316
"55",2009,"PE",1.36842105263158,1.15789473684211,1.26315789473685
"56",2009,"PR",1.47368421052632,0.894736842105263,1.18421052631579
"57",2009,"RJ",1.57894736842105,1.21052631578947,1.39473684210526
"58",2009,"RS",2.47368421052632,1,1.73684210526316
"59",2009,"SC",1.89473684210526,1.31578947368421,1.60526315789473
"60",2009,"SP",1.75438596491228,1.12280701754386,1.43859649122807
"61",2010,"BA",1.52631578947368,0.684210526315789,1.10526315789473
"62",2010,"CE",1.15789473684211,0.684210526315789,0.92105263157895
"63",2010,"GO",1.34210526315789,1.07894736842105,1.21052631578947
"64",2010,"MG",1.57894736842105,1.18421052631579,1.38157894736842
"65",2010,"PR",1.42105263157895,0.842105263157895,1.13157894736842
"66",2010,"RJ",1.57894736842105,1.05263157894737,1.31578947368421
"67",2010,"RS",1.73684210526316,1.31578947368421,1.52631578947368
"68",2010,"SC",1.78947368421053,0.789473684210526,1.28947368421053
"69",2010,"SP",1.50877192982456,1.08771929824561,1.29824561403509
"70",2011,"BA",1.36842105263158,0.894736842105263,1.13157894736842
"71",2011,"CE",1.63157894736842,0.842105263157895,1.23684210526316
"72",2011,"GO",1.31578947368421,1.31578947368421,1.31578947368421
"73",2011,"MG",1.66666666666667,0.947368421052632,1.30701754385965
"74",2011,"PR",1.65789473684211,0.842105263157895,1.25
"75",2011,"RJ",1.77631578947368,1.22368421052632,1.5
"76",2011,"RS",1.76315789473684,1.02631578947368,1.39473684210526
"77",2011,"SC",1.28947368421053,1.10526315789474,1.19736842105263
"78",2011,"SP",1.56578947368421,1.17105263157895,1.36842105263158
"79",2012,"BA",0.842105263157895,1.10526315789474,0.973684210526317
"80",2012,"GO",1.10526315789474,0.842105263157895,0.973684210526317
"81",2012,"MG",1.78947368421053,1.13157894736842,1.46052631578948
"82",2012,"PE",1.39473684210526,0.789473684210526,1.09210526315789
"83",2012,"PR",1.73684210526316,1.05263157894737,1.39473684210527
"84",2012,"RJ",1.52631578947368,1.17105263157895,1.34868421052632
"85",2012,"RS",1.52631578947368,1.10526315789474,1.31578947368421
"86",2012,"SC",1.21052631578947,0.842105263157895,1.02631578947368
"87",2012,"SP",1.5,0.912280701754386,1.20614035087719
"88",2013,"BA",1.36842105263158,1.15789473684211,1.26315789473685
"89",2013,"GO",1.42105263157895,1.10526315789474,1.26315789473685
"90",2013,"MG",2.31578947368421,1,1.65789473684211
"91",2013,"PE",0.736842105263158,0.421052631578947,0.578947368421052
"92",2013,"PR",1.78947368421053,1.02631578947368,1.40789473684211
"93",2013,"RJ",1.44736842105263,1.06578947368421,1.25657894736842
"94",2013,"RS",1.42105263157895,1.02631578947368,1.22368421052632
"95",2013,"SC",1.36842105263158,1.21052631578947,1.28947368421052
"96",2013,"SP",1.25263157894737,0.894736842105263,1.07368421052632
"97",2014,"BA",0.973684210526316,0.815789473684211,0.894736842105263
"98",2014,"GO",1.57894736842105,0.421052631578947,0.999999999999998
"99",2014,"MG",1.86842105263158,1.23684210526316,1.55263157894737
"100",2014,"PE",1.21052631578947,0.684210526315789,0.947368421052629
"101",2014,"PR",1.26315789473684,0.973684210526316,1.11842105263158
"102",2014,"RJ",1.63157894736842,0.789473684210526,1.21052631578947
