"","ano_campeonato","data","rodada","estadio","arbitro","publico","publico_max","time_mandante","time_visitante","tecnico_mandante","tecnico_visitante","colocacao_mandante","colocacao_visitante","valor_equipe_titular_mandante","valor_equipe_titular_visitante","idade_media_titular_mandante","idade_media_titular_visitante","gols_mandante","gols_visitante","gols_1_tempo_mandante","gols_1_tempo_visitante","escanteios_mandante","escanteios_visitante","faltas_mandante","faltas_visitante","chutes_bola_parada_mandante","chutes_bola_parada_visitante","defesas_mandante","defesas_visitante","impedimentos_mandante","impedimentos_visitante","chutes_mandante","chutes_visitante","chutes_fora_mandante","chutes_fora_visitante"
"2406",2015,"2015-10-31",33,"Estádio Moisés Lucarelli","Marielson Alves Silva",4858,19728,"Ponte Preta","Joinville-SC","Felipe Moreira","Paulo César Gusmão",9,19,14.5,8.2,28.2,26.2,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2407",2020,"2020-11-07",20,"Arena da Baixada","Ramon Abatti",0,42372,"Athletico-PR","Fortaleza","Paulo Autuori","Rogério Ceni",17,9,18.8,8.2,26.8,29.9,2,1,0,1,10,3,20,14,14,20,2,4,3,4,21,11,7,4
"2408",2011,"2011-09-04",21,"Estádio Olímpico Monumental","Salvio Fagundes Filho",16245,NA,"Grêmio","Atlético-PR","Celso Roth","Antônio Lopes",14,18,20.7,8.2,25.9,24.7,4,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2409",2014,"2014-11-02",32,"Neo Química Arena","Jean Pierre Goncalves Lima",28099,68000,"Corinthians","Coritiba FC","Mano Menezes","Marquinhos Santos",4,17,23.25,8.2,26.3,27.7,2,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2410",2020,"2020-12-26",27,"Estádio Governador Magalhães Pinto","Dyorgines Jose Padovani",0,57000,"Atlético-MG","Coritiba FC","Jorge Sampaoli","Pachequinho",3,19,42.5,8.2,27.5,28.7,2,0,0,0,13,3,15,13,12,15,3,7,0,2,25,7,7,4
"2411",2020,"2020-11-15",21,"Estádio Jornalista Mário Filho","Rafael Traci",0,78838,"Flamengo","Atlético-GO","Rogério Ceni","Marcelo Cabo",4,14,62.3,8.2,25.4,25.4,1,1,1,0,11,4,15,16,16,14,4,5,1,2,19,10,9,4
"2412",2022,"2022-05-15",6,"Estádio Raimundo Sampaio","Anderson Daronco",20749,23018,"Atlético-MG","Atlético-GO","Antonio Mohamed","Umberto Louzer",7,19,74,8.2,28.5,26.1,2,0,1,0,10,2,16,14,13,14,0,6,2,1,14,5,3,2
"2413",2021,"2021-12-10",38,"Arena de Pernambuco","Ramon Abatti",4215,46000,"Sport Recife","Athletico-PR","Gustavo Florentín","Alberto Valentim",19,14,3.78,8.25,25.2,21.7,1,1,1,1,6,4,17,14,14,17,3,5,1,0,18,7,8,1
"2414",2009,"2009-10-03",27,"Estádio Bruno José Daniel","Paulo Henrique de Godoy Bezerra",1701,NA,"Santo André","EC Vitória","Sérgio Soares","Vágner Mancini",18,7,4.95,8.25,27.7,26.2,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2415",2018,"2018-10-01",27,"Estádio Governador Plácido Castelo","Wilton Sampaio",27485,60326,"Ceará SC","Chapecoense","Lisca","Guto Ferreira",18,17,6.28,8.25,27.2,28.1,3,1,0,1,5,8,16,20,22,16,1,4,0,2,7,2,5,4
"2416",2010,"2010-08-01",12,"Estádio Municipal Eduardo José Farah","Gutemberg de Paula Fonseca",15890,NA,"Barueri","Santos FC","Toninho Cecílio","Dorival Júnior",17,8,6.5,8.25,24.9,24.5,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
