"","ano_campeonato","data","rodada","estadio","arbitro","publico","publico_max","time_mandante","time_visitante","tecnico_mandante","tecnico_visitante","colocacao_mandante","colocacao_visitante","valor_equipe_titular_mandante","valor_equipe_titular_visitante","idade_media_titular_mandante","idade_media_titular_visitante","gols_mandante","gols_visitante","gols_1_tempo_mandante","gols_1_tempo_visitante","escanteios_mandante","escanteios_visitante","faltas_mandante","faltas_visitante","chutes_bola_parada_mandante","chutes_bola_parada_visitante","defesas_mandante","defesas_visitante","impedimentos_mandante","impedimentos_visitante","chutes_mandante","chutes_visitante","chutes_fora_mandante","chutes_fora_visitante"
"1",2024,"2024-06-28",12,"MorumBIS"," Bruno Pereira Vasconcelos",28008,72039,"São Paulo","Criciúma EC","Luis Zubeldía","Cláudio Tencati",9,12,28.95,4.43,30.1,31.5,2,1,2,0,2,2,10,22,21,9,0,4,1,0,13,10,4,6
"2",2024,"2024-11-26",35,"Estádio Jornalista Mário Filho"," Luiz Flávio de Oliveira ",41240,82238,"Fluminense","Criciúma EC","Mano Menezes","Cláudio Tencati",15,17,37.25,5.25,31.6,30.6,0,0,0,0,9,4,6,15,13,6,3,3,2,2,19,10,10,5
"3",2024,"2024-07-28",20,"Estádio Alfredo Jaconi "," João Vitor Gobi",6564,23726,"Juventude","Criciúma EC","Jair Ventura","Cláudio Tencati",14,11,8.45,5.45,28.8,30.6,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2024,"2024-04-27",4,"Estádio São Januário"," Caio Max Augusto Vieira",17124,24584,"Vasco da Gama","Criciúma EC","Ramón Díaz","Cláudio Tencati",17,10,30.15,5.75,28.4,31.3,0,4,0,1,5,4,13,7,7,13,6,5,0,2,21,17,8,5
"5",2024,"2024-07-17",17,"Neo Química Arena "," Jonathan Benkenstein Pinheiro",43241,NA,"Corinthians","Criciúma EC","Ramón Díaz","Cláudio Tencati",17,13,47,5.9,26.4,30.6,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2023,"2023-04-15",1,"Allianz Parque","Paulo Cesar Zanovelli",35835,NA,"Palmeiras","Cuiabá-MT","Abel Ferreira","Ivo Vieira",4,15,84.2,5.93,26.8,29.6,2,1,1,1,4,4,23,12,12,21,3,3,3,2,17,12,7,6
"7",2024,"2024-07-20",18,"Estádio Nacional de Brasília Mané Garrincha"," Maguielson Lima Barbosa",60127,78838,"Flamengo","Criciúma EC","Tite","Cláudio Tencati",3,14,110.4,6,28.5,30.3,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2024,"2024-04-18",2,"Arena MRV"," Paulo Belence Alves dos Prazeres Filho",24613,46000,"Atlético-MG","Criciúma EC","Gabriel Milito","Cláudio Tencati",14,13,48,6.28,28.9,31.2,1,1,1,0,9,2,12,10,10,10,0,5,2,0,22,5,8,4
"9",2024,"2024-08-10",22,"Estádio Governador Plácido Castelo"," Kleber Ariel Gonçalves da Silva",40311,60326,"Fortaleza","Criciúma EC","Juan Pablo Vojvoda","Cláudio Tencati",3,12,11.45,6.3,30,30.8,1,0,0,0,4,6,16,13,13,16,2,3,2,1,16,12,7,7
"10",2023,"2023-09-16",23,"Arena Pantanal","Bruno Arleu de Araújo",8509,42968,"Cuiabá-MT","América-MG","Toni Oliveira","Fabián Bustos",11,19,9.2,6.35,29,29.4,2,2,2,2,9,1,11,18,17,11,1,6,3,1,20,7,6,3
"11",2024,"2024-11-06",32,"Estádio Beira-Rio"," Felipe Fernandes",29097,50848,"Internacional","Criciúma EC","Roger Machado","Cláudio Tencati",5,16,43.8,6.7,27.2,30.6,2,0,1,0,7,3,15,13,13,14,4,7,2,4,20,5,5,1
"12",2023,"2023-09-16",23,"Allianz Parque","Savio Pereira Sampaio",38146,43713,"Palmeiras","Goiás","Abel Ferreira","Armando Evangelista",2,16,70.5,6.73,28.8,28.7,1,0,0,0,6,3,12,19,19,12,3,5,2,5,18,8,10,3
"13",2024,"2024-06-14",8,"Ligga Arena"," Jonathan Benkenstein Pinheiro",23424,42372,"Athletico-PR","Criciúma EC","Cuca","Cláudio Tencati",4,13,28.45,6.88,28.1,30.9,3,1,1,1,5,3,9,12,10,9,3,4,2,3,23,12,10,5
"14",2023,"2023-12-06",38,"Estádio Serra Dourada","Davi de Oliveira Lacerda",1966,14525,"Goiás","América-MG","Mário Henrique","Diogo Giacomini",18,20,10.35,6.9,27.6,27.1,1,0,1,0,8,7,12,13,12,12,3,1,3,2,14,11,9,5
"15",2023,"2023-06-10",10,"Neo Química Arena ","André Luiz Skettino Policarpo Bento",40512,49205,"Corinthians","Cuiabá-MT","Vanderlei Luxemburgo","Toni Oliveira",16,14,36.25,7.08,26.2,27.9,1,1,0,0,8,6,11,13,13,10,1,6,1,1,24,10,10,3
"16",2023,"2023-12-03",37,"Estádio Jornalista Mário Filho","Rodrigo Jose Pereira de Lima",63148,78838,"Flamengo","Cuiabá-MT","Tite","Toni Oliveira",3,12,90.3,7.08,29.2,29,2,1,2,0,6,2,13,9,9,13,0,4,0,1,19,2,7,0
"17",2024,"2024-08-18",23,"Ligga Arena"," João Vitor Gobi",22926,42372,"Athletico-PR","Juventude","Martín Varini","Jair Ventura",9,13,21.45,7.1,25.6,29.2,1,2,1,1,10,4,17,10,9,16,3,6,1,1,23,8,10,2
"18",2023,"2023-05-11",5,"Estádio Jornalista Mário Filho","Savio Pereira Sampaio",44948,78838,"Flamengo","Goiás","Jorge Sampaoli","Émerson Ávila",12,18,78.6,7.1,26.1,28.3,2,0,1,0,8,7,21,9,7,21,6,3,1,1,23,14,11,4
"19",2023,"2023-11-30",36,"Allianz Parque","Wilton Sampaio",29717,43713,"Palmeiras","América-MG","Abel Ferreira","Diogo Giacomini",1,20,86,7.15,27.3,29.3,4,0,2,0,10,2,10,15,15,10,1,9,2,2,25,5,12,2
"20",2023,"2023-11-10",33,"Arena Fonte Nova","Felipe Fernandes",33931,47364,"EC Bahia","Cuiabá-MT","Rogério Ceni","Toni Oliveira",17,10,27.55,7.23,28.3,28.9,0,3,0,1,7,4,10,23,21,9,3,4,0,3,15,11,5,2
"21",2024,"2024-04-13",1,"Estádio Heriberto Hülse"," Bruno Pereira Vasconcelos",12408,19225,"Criciúma EC","Juventude","Cláudio Tencati","Roger Machado",10,11,5.63,7.3,31.1,30.4,1,1,1,0,0,4,11,15,15,9,3,2,3,4,10,15,4,7
"22",2023,"2023-11-12",34,"Estádio São Januário","Savio Pereira Sampaio",19478,24584,"Vasco da Gama","América-MG","","",15,20,23.45,7.3,28.7,30,2,1,1,1,7,8,13,12,11,11,5,4,0,0,17,16,8,5
"23",2024,"2024-07-07",15,"Estádio Manoel Barradas"," Bruno Mota Correia",16615,30618,"EC Vitória","Criciúma EC","Thiago Carpini","Cláudio Tencati",15,12,12.45,7.33,26.4,30.6,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2024,"2024-09-26",5,"Arena do Grêmio"," Davi de Oliveira Lacerda",18457,60540,"Grêmio","Criciúma EC","Renato Gaúcho","Cláudio Tencati",14,5,41.2,7.35,28.9,30.2,1,2,0,1,6,3,8,12,12,6,2,2,0,1,15,11,6,5
"25",2023,"2023-08-19",20,"Estádio Jornalista Mário Filho","Flavio Rodrigues de Souza",35562,82238,"Fluminense","América-MG","Fernando Diniz","Fabián Bustos",4,20,37.75,7.43,32.4,30.8,3,1,0,0,7,1,7,12,11,7,2,1,3,0,19,13,9,7
"26",2024,"2024-06-06",5,"Estádio Alfredo Jaconi "," Raphael Claus",5123,23726,"Juventude","Atlético-GO","Roger Machado","Jair Ventura",11,19,8.1,7.5,29.1,28.1,1,0,1,0,4,7,13,12,11,12,5,1,1,1,8,22,5,9
"27",2024,"2024-06-01",7,"Estádio Manoel Barradas"," Kleber Ariel Gonçalves da Silva",16008,30618,"EC Vitória","Atlético-GO","Thiago Carpini","Jair Ventura",20,18,11.4,7.5,26.8,28.1,0,2,0,1,3,4,7,9,9,7,3,3,0,1,12,12,4,5
"28",2023,"2023-05-07",4,"Estádio Raimundo Sampaio","Denis Ribeiro Serafim",5228,25000,"América-MG","Cuiabá-MT","Vagner Mancini","Ivo Vieira",20,13,8.95,7.55,32,28.6,1,2,1,0,4,6,19,12,12,17,4,3,5,2,15,9,8,3
"29",2023,"2023-09-03",22,"Arena do Grêmio","Yuri Elino Ferreira da Cruz",39339,60540,"Grêmio","Cuiabá-MT","Renato Portaluppi","Toni Oliveira",3,11,36.6,7.58,29.4,28.9,2,0,1,0,2,9,18,16,16,17,3,4,3,0,11,17,3,4
"30",2024,"2024-08-31",25,"Arena Pantanal"," Rodrigo José Pereira de Lima",4095,42968,"Cuiabá-MT","Criciúma EC","Bernardo Franco","Cláudio Tencati",19,13,13.55,7.63,27.5,29.9,2,1,0,1,5,5,16,9,8,16,3,1,0,3,22,12,12,6
"31",2024,"2024-09-21",27,"Neo Química Arena "," Bruno Arleu de Araújo",46001,NA,"Corinthians","Atlético-GO","Ramón Díaz","Umberto Louzer",18,20,36.5,7.65,27.6,27.4,3,0,1,0,6,1,7,17,16,7,3,3,3,1,17,14,5,8
"32",2024,"2024-06-15",9,"Estádio Nabi Abi Chedid"," Emerson Ricardo",3338,15010,"RB Bragantino","Juventude","Pedro Caixinha","Roger Machado",8,13,41.9,7.65,24.8,27.9,2,1,1,1,1,1,12,12,12,12,5,0,0,5,6,14,1,5
"33",2024,"2024-12-08",38,"Estádio Nabi Abi Chedid"," Savio Pereira Sampaio",0,15010,"RB Bragantino","Criciúma EC","Fernando Seabra","Cláudio Tencati",16,18,32.25,7.7,26.4,30.2,5,1,2,1,6,8,9,13,12,8,3,3,0,0,18,7,4,2
"34",2023,"2023-06-04",9,"Estádio Serra Dourada","Marcelo de Lima Henrique  ",6987,14525,"Goiás","Cuiabá-MT","Émerson Ávila","Toni Oliveira",17,14,9.1,7.8,28.9,28.3,0,1,0,0,4,5,19,14,14,18,7,3,2,1,11,15,7,2
"35",2023,"2023-05-23",7,"Estádio Joaquim Henrique Nogueira","Savio Pereira Sampaio",15722,40927,"Cruzeiro","Cuiabá-MT","Pepa","Luiz Fernando Iubel",5,14,17.1,7.8,28.8,28.3,0,1,0,1,6,2,16,15,14,16,1,8,5,2,15,15,6,9
"36",2024,"2024-09-29",28,"Arena Fonte Nova"," Edina Alves Batista",24574,47364,"EC Bahia","Criciúma EC","Rogério Ceni","Cláudio Tencati",7,15,37.45,7.85,28.8,30.9,1,0,1,0,9,1,10,8,8,10,1,5,0,5,21,2,10,1
"37",2023,"2023-10-22",28,"Neo Química Arena ","Yuri Elino Ferreira da Cruz",38121,49205,"Corinthians","América-MG","Mano Menezes","Fabián Bustos",15,20,43.6,7.85,27.4,30.3,1,1,0,1,4,4,15,13,12,15,3,5,1,0,20,13,7,8
"38",2023,"2023-06-27",12,"Estádio Luso Brasileiro","Rafael Rodrigo Klein",0,5000,"Vasco da Gama","Cuiabá-MT","William Batista","Toni Oliveira",18,16,30.9,7.9,24.9,28.9,1,0,0,0,4,6,18,13,12,17,3,1,3,5,9,14,4,6
"39",2024,"2024-11-09",33,"Estádio Governador Magalhães Pinto"," Wagner do Nascimento Magalhães",29287,61927,"Cruzeiro","Criciúma EC","Fernando Diniz","Cláudio Tencati",7,16,47.4,7.9,28.4,29.8,2,1,1,0,6,5,13,11,11,13,6,7,1,2,26,12,10,5
"40",2024,"2024-08-24",24,"Estádio Antonio Accioly"," Bruno Pereira Vasconcelos",4407,13000,"Atlético-GO","Juventude","Umberto Louzer","Jair Ventura",20,13,7.85,8,28.3,29.5,2,1,0,0,4,5,17,10,10,16,2,5,0,2,18,13,7,5
"41",2023,"2023-10-21",28,"Arena Pantanal","Anderson Daronco",14956,42968,"Cuiabá-MT","Goiás","Toni Oliveira","Armando Evangelista",11,16,9.75,8.08,28.2,29.1,1,1,0,1,13,2,13,17,16,11,2,4,4,5,16,10,8,4
"42",2023,"2023-11-01",31,"Estádio Beira-Rio","Flavio Rodrigues de Souza",14961,50848,"Internacional","América-MG","Eduardo Coudet","Fabián Bustos",14,20,32.95,8.15,30,30.1,1,1,1,0,3,5,15,14,13,14,1,3,0,2,15,11,9,6
"43",2024,"2024-06-01",7,"Estádio Jornalista Mário Filho"," Matheus Delgado Candançan",21037,82238,"Fluminense","Juventude","Fernando Diniz","Roger Machado",16,13,45.05,8.15,31.5,28.9,1,1,1,0,5,3,13,19,19,13,2,3,1,3,17,12,8,5
"44",2024,"2024-10-26",31,"Estádio Jornalista Mário Filho"," Braulio da Silva Machado",65700,78838,"Flamengo","Juventude","Filipe Luís","Jair Ventura",4,18,89,8.15,27.5,28.4,4,2,1,1,8,1,8,14,13,8,1,6,2,1,20,5,7,2
"45",2023,"2023-11-07",32,"Estádio Urbano Caldeira","Savio Pereira Sampaio",12923,20120,"Santos","Cuiabá-MT","Marcelo Fernandes","Toni Oliveira",15,12,40.8,8.23,27.3,29.1,0,0,0,0,4,4,13,7,6,12,1,2,0,1,4,7,1,5
"46",2023,"2023-05-13",6,"Estádio Jornalista Mário Filho","Edina Alves Batista",39040,82238,"Fluminense","Cuiabá-MT","Fernando Diniz","Luiz Fernando Iubel",3,18,29.95,8.25,31.3,28.7,2,0,1,0,7,3,14,10,9,14,2,0,0,4,7,13,4,4
"47",2024,"2024-09-21",27,"Estádio Manoel Barradas"," Braulio da Silva Machado",24479,30618,"EC Vitória","Juventude","Thiago Carpini","Jair Ventura",17,13,11.3,8.35,28.5,30.1,1,0,1,0,4,5,12,15,15,10,2,1,3,0,13,11,8,6
"48",2023,"2023-09-24",24,"Arena MRV","Rodrigo Jose Pereira de Lima",36104,46000,"Atlético-MG","Cuiabá-MT","Luiz Felipe Scolari","Toni Oliveira",9,12,45.1,8.35,29.5,29.6,1,0,1,0,6,3,15,14,14,15,3,2,3,1,7,9,4,4
"49",2024,"2024-04-21",3,"Estádio Olímpico Nilton Santos"," Arthur Gomes Rabelo",13273,46931,"Botafogo","Juventude","Artur Jorge","Roger Machado",3,13,27.2,8.4,28.1,28.5,5,1,2,0,5,4,22,10,10,20,0,1,1,1,13,12,5,5
"50",2023,"2023-10-26",29,"Estádio General Sylvio Raulino de Oliveira","Leandro Pedro Vuaden",4793,18238,"Fluminense","Goiás","Fernando Diniz","Armando Evangelista",8,17,40.25,8.4,32.3,29.1,5,3,2,2,6,1,14,21,21,13,1,3,3,1,20,9,7,3
"51",2023,"2023-07-16",15,"Estádio Governador Plácido Castelo","Yuri Elino Ferreira da Cruz",43048,60326,"Fortaleza","Cuiabá-MT","Juan Pablo Vojvoda","Toni Oliveira",9,13,14.2,8.5,30.9,29.1,0,1,0,1,10,0,17,17,16,17,0,6,2,2,21,7,9,5
"52",2023,"2023-08-16",19,"Ligga Arena","Arthur Gomes Rabelo",18444,42372,"Athletico-PR","Cuiabá-MT","Wesley Carvalho","Toni Oliveira",6,8,61.6,8.53,27.3,30,2,0,1,0,5,3,22,12,12,21,1,4,1,1,12,11,4,8
"53",2024,"2024-07-28",20,"Allianz Parque"," Caio Max Augusto Vieira",39609,43713,"Palmeiras","EC Vitória","Abel Ferreira","Thiago Carpini",3,18,87.25,8.58,24.1,28.1,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2023,"2023-11-26",35,"Estádio Cícero Pompeu de Toledo","Paulo Cesar Zanovelli",34252,72039,"São Paulo","Cuiabá-MT","Dorival Júnior","Toni Oliveira",10,9,31.5,8.73,28.6,28.2,0,0,0,0,5,1,12,11,11,12,0,4,1,2,19,3,8,1
"55",2023,"2023-10-01",25,"Estádio Governador Magalhães Pinto","Leandro Pedro Vuaden",44279,61927,"Cruzeiro","América-MG","Zé Ricardo","Fabián Bustos",12,19,23.05,8.75,29,29.8,1,1,1,1,9,7,15,10,10,15,6,1,1,1,18,18,8,7
"56",2023,"2023-10-26",29,"Ligga Arena","Anderson Daronco",20672,42372,"Athletico-PR","América-MG","Wesley Carvalho","Fabián Bustos",5,20,31.3,8.75,27.4,30.1,3,2,3,1,14,5,14,14,14,14,4,5,3,0,22,12,8,2
"57",2023,"2023-08-27",21,"Estádio Nabi Abi Chedid","Bruno Mota Correia",3683,13212,"RB Bragantino","Cuiabá-MT","Pedro Caixinha","Toni Oliveira",6,10,27.3,8.8,24.4,28.6,2,0,0,0,11,4,21,14,12,21,3,2,1,0,11,6,2,2
"58",2024,"2024-09-15",26,"Allianz Parque"," Alex Gomes Stefano",37244,43713,"Palmeiras","Criciúma EC","Abel Ferreira","Cláudio Tencati",2,14,101.6,8.83,27.6,29.2,5,0,3,0,4,6,12,11,11,11,5,4,3,2,14,14,3,6
"59",2024,"2024-10-04",29,"Estádio Heriberto Hülse"," João Vitor Gobi",12343,19225,"Criciúma EC","Atlético-GO","Cláudio Tencati","Umberto Louzer",12,20,7.3,8.9,30.5,25.5,2,0,1,0,7,6,16,8,5,16,3,3,1,1,17,14,7,9
"60",2023,"2023-05-29",8,"Estádio Olímpico Nilton Santos","Raphael Claus",23708,NA,"Botafogo","América-MG","Luís Castro","Vagner Mancini",1,19,22.8,8.9,28.8,28.4,2,0,1,0,7,0,9,11,11,9,1,4,2,3,18,4,4,2
"61",2023,"2023-04-15",1,"Ligga Arena","Rafael Rodrigo Klein",15329,42372,"Athletico-PR","Goiás","Paulo Turra","Émerson Ávila",3,18,26.8,8.95,26.9,29,2,0,1,0,3,8,19,18,17,18,2,1,1,1,11,16,4,8
"62",2023,"2023-04-22",2,"Estádio Cícero Pompeu de Toledo","Wagner do Nascimento Magalhães",41006,72039,"São Paulo","América-MG","Dorival Júnior","Vagner Mancini",9,20,33,9,26.2,31.1,3,0,1,0,3,7,18,12,12,18,8,3,1,3,17,22,8,8
"63",2024,"2024-10-06",29,"Estádio São Januário"," Caio Max Augusto Vieira",18036,24584,"Vasco da Gama","Juventude","Rafael Paiva","Jair Ventura",9,15,33,9.2,29,28.8,1,1,1,1,3,6,14,13,13,14,4,2,3,1,16,17,6,7
"64",2023,"2023-07-29",17,"Estádio Beira-Rio","Matheus Delgado Candançan",32020,50848,"Internacional","Cuiabá-MT","Eduardo Coudet","Toni Oliveira",12,9,46.95,9.2,30.1,29,1,2,1,1,7,5,14,11,10,13,3,3,2,1,17,12,7,4
"65",2024,"2024-07-12",16,"Allianz Parque"," Wagner do Nascimento Magalhães",26897,43713,"Palmeiras","Atlético-GO","Abel Ferreira","Vagner Mancini",2,19,107.5,9.2,26.5,26.9,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",2023,"2023-08-06",18,"Arena Fonte Nova","Matheus Delgado Candançan",34313,NA,"EC Bahia","América-MG","Renato Paiva","Vagner Mancini",16,20,24.85,9.23,28.9,30.2,3,1,1,0,7,2,20,19,19,19,4,4,2,3,22,8,8,3
"67",2023,"2023-10-08",26,"Estádio Governador Plácido Castelo","Bruno Arleu de Araújo",23830,60326,"Fortaleza","América-MG","Juan Pablo Vojvoda","Fabián Bustos",6,20,11.65,9.25,30.6,29.8,3,2,1,2,8,2,11,12,12,9,1,2,3,2,18,15,9,7
"68",2023,"2023-05-11",5,"Estádio Nabi Abi Chedid","Rafael Rodrigo Klein",2909,13212,"RB Bragantino","América-MG","Pedro Caixinha","Vagner Mancini",15,20,33.3,9.3,25.8,31,2,2,2,1,5,4,16,17,17,15,1,7,3,2,20,10,5,2
"69",2024,"2024-04-19",2,"Estádio Olímpico Nilton Santos"," Luiz Flávio de Oliveira ",8508,46931,"Botafogo","Atlético-GO","Artur Jorge","Jair Ventura",10,20,39,9.3,26.9,26.8,1,0,1,0,8,8,13,11,11,13,3,3,1,2,13,12,6,4
"70",2023,"2023-11-12",34,"Arena Pantanal","Caio Max Augusto Vieira",14728,42968,"Cuiabá-MT","Fortaleza","Toni Oliveira","Juan Pablo Vojvoda",9,11,6.38,9.35,29.8,31.1,2,1,1,0,2,9,7,15,15,7,2,2,2,2,7,13,3,4
"71",2024,"2024-04-14",1,"Ligga Arena"," Jonathan Benkenstein Pinheiro",22169,42372,"Athletico-PR","Cuiabá-MT","Cuca","Luiz Fernando Iubel",1,20,34.05,9.35,27.7,29.2,4,0,3,0,7,0,16,9,9,16,0,5,2,1,20,1,6,1
"72",2024,"2024-09-01",25,"Estádio Governador Magalhães Pinto"," Gustavo Ervino Bauermann",50000,61927,"Cruzeiro","Atlético-GO","Fernando Seabra","Umberto Louzer",5,20,47.1,9.35,27.9,28.9,3,1,2,1,8,3,13,7,6,13,3,3,0,3,11,17,3,11
"73",2024,"2024-08-11",22,"MorumBIS"," Davi de Oliveira Lacerda",46600,NA,"São Paulo","Atlético-GO","Luis Zubeldía","Umberto Louzer",5,20,29.9,9.4,26.3,27.3,1,0,1,0,3,2,15,8,8,13,6,5,1,1,12,13,2,5
"74",2024,"2024-10-19",30,"Estádio Jornalista Mário Filho"," Matheus Delgado Candançan",64727,76931,"Botafogo","Criciúma EC","Artur Jorge","Cláudio Tencati",1,12,83,9.4,27.4,30.8,1,1,0,0,9,1,12,10,9,11,2,6,1,2,25,6,8,3
"75",2024,"2024-08-15",6,"Estádio Beira-Rio"," Gustavo Ervino Bauermann",11920,50848,"Internacional","Juventude","Roger Machado","Jair Ventura",5,12,26.55,9.45,27.2,29.5,2,1,0,1,8,1,19,17,16,19,2,8,1,0,21,8,7,4
"76",2024,"2024-08-04",21,"Neo Química Arena "," Lucas Paulo Torezin",43947,49205,"Corinthians","Juventude","Ramón Díaz","Jair Ventura",18,15,40,9.55,27.6,28.5,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",2024,"2024-07-28",20,"Estádio Jornalista Mário Filho"," Gustavo Ervino Bauermann",61883,78838,"Flamengo","Atlético-GO","Tite","Vagner Mancini",1,20,92.1,9.55,29,26.7,2,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",2024,"2024-06-16",9,"Estádio Jornalista Mário Filho"," Gustavo Ervino Bauermann",14485,82238,"Fluminense","Atlético-GO","Fernando Diniz","Jair Ventura",19,14,28.45,9.6,32.7,27.1,1,2,1,0,3,3,10,12,11,10,5,4,1,1,9,17,4,7
"79",2024,"2024-07-25",19,"Estádio Governador Magalhães Pinto"," Maguielson Lima Barbosa",46603,61927,"Cruzeiro","Juventude","Fernando Seabra","Jair Ventura",4,14,34.6,9.6,27.7,28.9,2,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",2023,"2023-08-13",19,"Estádio Raimundo Sampaio","Luiz Flávio de Oliveira ",2888,25000,"América-MG","Goiás","Fabián Bustos","Armando Evangelista",20,15,8,9.63,27.8,28.3,0,1,0,1,7,3,12,12,12,12,2,2,2,1,15,9,5,5
"81",2023,"2023-10-03",25,"Estádio Olímpico Nilton Santos","Braulio da Silva Machado",34294,46931,"Botafogo","Goiás","Bruno Lage","Armando Evangelista",1,16,27.6,9.63,29.6,28.5,1,1,0,1,8,3,18,16,16,17,2,5,1,2,18,8,8,2
"82",2023,"2023-08-27",21,"Neo Química Arena ","Paulo Cesar Zanovelli",37316,49205,"Corinthians","Goiás","Vanderlei Luxemburgo","Armando Evangelista",12,15,33.05,9.63,25.4,28.4,1,1,0,0,7,6,16,15,13,16,3,6,0,0,20,19,3,8
"83",2023,"2023-11-09",33,"Ligga Arena","Raphael Claus",19831,42372,"Athletico-PR","Fortaleza","Wesley Carvalho","Juan Pablo Vojvoda",7,11,28.15,9.65,27.1,31.2,1,1,0,0,15,2,20,12,12,19,2,2,3,1,20,13,11,7
"84",2023,"2023-10-19",27,"Estádio Major Antônio Couto Pereira","Denis Ribeiro Serafim",20873,40502,"Coritiba FC","Cuiabá-MT","Thiago Kosloski","Toni Oliveira",19,10,16.4,9.75,28,28.2,0,3,0,1,4,4,14,11,9,14,3,3,2,2,19,8,10,1
"85",2023,"2023-07-02",13,"Estádio Governador Magalhães Pinto","Wilton Sampaio",34507,57483,"Atlético-MG","América-MG","Luiz Felipe Scolari","Vagner Mancini",10,19,44.8,9.75,30.4,30.1,2,2,2,0,4,7,16,20,19,15,3,3,1,2,12,23,2,9
"86",2024,"2024-12-08",38,"Arena Fonte Nova"," Gustavo Ervino Bauermann",48476,NA,"EC Bahia","Atlético-GO","Rogério Ceni","Anderson Gomes",8,19,40.55,9.9,28.5,27.7,2,0,1,0,4,5,15,11,11,15,2,3,2,2,17,13,6,7
"87",2023,"2023-07-09",14,"Estádio Urbano Caldeira","Bruno Arleu de Araújo",0,20120,"Santos","Goiás","Paulo Turra","Armando Evangelista",13,17,35.2,10,25.9,28.6,4,3,3,1,8,13,17,19,19,16,2,2,1,4,15,19,5,8
"88",2024,"2024-10-26",31,"Arena do Grêmio"," Edina Alves Batista",36959,60540,"Grêmio","Atlético-GO","Renato Gaúcho","Umberto Louzer",11,20,44.2,10,29.2,27.3,3,1,1,1,4,3,14,18,18,13,4,3,0,0,11,13,3,4
"89",2024,"2024-04-29",4,"Estádio Beira-Rio"," Edina Alves Batista",23836,50848,"Internacional","Atlético-GO","Eduardo Coudet","Jair Ventura",6,19,51.25,10.2,28.3,26.7,1,1,0,0,13,0,13,12,12,13,1,4,1,5,22,4,9,0
"90",2023,"2023-11-12",34,"Arena MRV","Marcelo de Lima Henrique  ",29173,46000,"Atlético-MG","Goiás","Luiz Felipe Scolari","Armando Evangelista",6,18,51.95,10.2,27.4,28.7,2,1,1,0,3,7,17,16,15,16,4,2,1,3,8,21,2,7
"91",2023,"2023-07-23",16,"Estádio Raimundo Sampaio","Caio Max Augusto Vieira",21688,25000,"Cruzeiro","Goiás","Pepa","Armando Evangelista",11,16,19.5,10.23,28.6,29.1,0,1,0,1,13,1,8,21,20,8,1,1,2,2,16,7,8,4
"92",2024,"2024-07-21",18,"Estádio Governador Plácido Castelo"," Lucas Paulo Torezin",30822,60326,"Fortaleza","Atlético-GO","Juan Pablo Vojvoda","Vagner Mancini",4,20,16,10.3,30,26.5,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",2024,"2024-11-27",36,"Estádio Raimundo Sampaio"," Flavio Rodrigues de Souza",0,46000,"Atlético-MG","Juventude","Gabriel Milito","Fábio Matias",13,15,24.6,10.3,28.6,26.7,2,3,0,1,9,5,13,8,7,13,4,3,0,2,21,13,10,4
"94",2023,"2023-06-23",11,"Estádio São Januário","Jean Pierre Goncalves Lima",17647,24584,"Vasco da Gama","Goiás","Maurício Barbieri","Armando Evangelista",19,17,36.1,10.3,23.9,28.2,0,1,0,0,8,2,20,24,19,17,0,4,4,3,21,8,10,6
"95",2023,"2023-10-30",30,"Estádio Olímpico Nilton Santos","Wilton Sampaio",30659,46931,"Botafogo","Cuiabá-MT","Lúcio Flávio","Toni Oliveira",1,10,30,10.35,29.9,27.7,0,1,0,0,7,2,12,17,15,11,0,9,2,4,32,6,13,2
"96",2024,"2024-09-06",16,"Arena Pantanal"," Felipe Fernandes",4826,42968,"Cuiabá-MT","Juventude","Bernardo Franco","Jair Ventura",16,14,11.25,10.4,28.2,29.8,0,0,0,0,3,3,17,11,10,16,3,3,0,2,12,9,4,6
"97",2023,"2023-06-23",11,"Arena do Grêmio","Edina Alves Batista",15864,60540,"Grêmio","América-MG","Renato Portaluppi","Vagner Mancini",3,18,24.9,10.5,26.5,30,3,1,1,1,10,2,10,11,11,10,1,7,2,3,22,8,11,3
